,center_id,center_name,address,zip_code
117,32829,솔로몬어린이집,경상북도 칠곡군 북삼읍 인평중앙로 15,39805
118,35227,경화예닮어린이집,경상남도 창원시 진해구 병암북로3번길 24,51581
119,36054,동문드라마어린이집,경기도 파주시 청석로 350,10876
120,36717,양지뜰어린이집,경기도 용인시 처인구 양지면 양지로133번길 13,17158
121,37403,REGGIO ELC 레지오이엘씨 판교원,경기도 성남시 분당구 판교역로 18번길 22번지 YH 빌딩,13536
122,42418,온누리어린이집,부산광역시 동구 망양로822번길 5,48777
123,48076,율곡어린이집,경상북도 김천시 용전1로1길25,39660
124,49710,예니뜰어린이집,서울특별시 강동구 성내로14길 41-7,05402
125,53313,아롱별어린이집,경기도 구리시 건원대로 92,11917
126,54561,뽀뽀뽀어린이집,강원도 춘천시 새청말길 26,24229
127,56339,키즈홀릭어린이집,경기도 김포시 김포한강11로 276,10073
128,63366,동화숲어린이집,제주특별자치도 제주시 청풍남4길 14,63298
129,64571,삼척누리유치원,강원도 삼척시 동해대로3783-24,25931
130,64914,쌍용영재어린이집,충청북도 청주시 청원구 오창읍 오창중앙로 105  쌍용@ 904동106호,28123
131,65000,해오름 어린이집,경기도 안산시 단원구 선부광장북로 67 234동 107호,15235
132,70471,계룡솔빛유치원,충청남도 계룡시 엄사중앙로66,32812
133,71243,꽃나라어린이집,경상남도 거제시 중곡로2길 12-1,53248
134,75166,김포경찰서어린이집,경기도 김포시 태장로795번길65,10090
135,76679,우리동네미술관,울산광역시 울주군 솔밭1길29-6 1층,44980
136,79276,만수어린이집,"인천광역시 남동구 담방로 105 , 관리동 (만수동, 만수주공7,8단지아파트)",21541
137,86147,가치브라더(D4),"서울특별시 구로구 디지털로 31길 19, 404호",08381
138,87617,대구동문초등학교병설유치원,대구광역시 수성구 대구시 수성구 효행로2길 111,42064
139,215,동부어린이집(대전),대전광역시 동구 가양동 426-26(동서대로 1730번길 13),34574
140,2777,소호어린이집,경기도 평택시 안중읍 대반3길6,17928
141,36851,경기어린이집,경기도 의정부시 금신로 306,11778
142,40918,리틀코넬,인천광역시 남동구 인주대로 612번지 21(구월동),21571
143,43878,역삼몬테소리어린이집,서울특별시 강남구 테헤란로 30길 27,06223
144,47403,동심어린이집,경기도 파주시 책향기로 183,10874
145,59511,플럼어학원,서울특별시 서초구 잠원로 8길 13,06518
146,60716,하늘숲어린이집,경기도 용인시 수지구 동천로 335,16802
147,61488,혜원어린이집,제주특별자치도 제주시 동광로16길 25,63275
148,62892,신데렐라어린이집,충청북도 청주시 흥덕구 덕암로108번길 44,28464
149,67665,한아름어린이집,충청남도 천안시 동남구 고재6길68 (원성동),31187
150,70991,어린이집,충청북도 증평군 증평읍 충청대로 1746,27927
151,73089,반석어린이집,경기도 시흥시 정왕대로117번길 26,15032
152,75764,예화어린이집,경기도 안산시 단원구 신촌4길 17,15440
153,75963,구립예림어린이집,서울특별시 강북구 도봉로99길 58,01052
154,78018,리틀베어어린이집,"대전광역시 유성구 노은서로210번길 32 406동 101호(지족동, 열매마을4단지아파트)",34082
155,78139,리드인독서논술국어학원,경기도 용인시 수지구 진산로 26 성원상떼빌아파트 상가2동 404호,16927
156,81200,은물어린이집,충청남도 아산시 문화로 355 106동 104호,31527
157,89541,오늘도힘차개,"인천광역시 서구 청라한내로72번길 17, 큐브시그니처3차 2층",22758
158,2539,샛별유치원(익산),전라북도 익산시 익산선화로2길 28-8,54657
159,2894,철원중앙유치원ㆍ어린이집,강원도 철원군 동송읍 금학로 157번안길2,24020
160,15345,세영어린이집,경기도 안양시 동안구 안양시 동안구 관악대로 275번길51,13935
161,15388,둥근마음어린이집,강원도 강릉시 교1동,25507
162,32082,나라어린이집,경기도 안성시 죽산면 구교동길 70,17519
163,32889,신안벧엘어린이집,경기도 파주시 시청로 85,10931
164,37584,포비학원,제주특별자치도 제주시 한북로 35,63240
165,38446,큰기쁨어린이집,경기도 안산시 단원구 화정천동로5안길 13,15248
166,41308,신나는키즈어린이집,경기도 안산시 상록구 충장로 533,15292
167,41971,반야유치원,대구광역시 남구 장전1길 92,42470
168,42435,구립비안어린이집,서울특별시 관악구  장군봉6길 8,08782
169,48756,주신드림스쿨 Jusin Dream School,서울특별시 용산구 용산동2가21-2,04338
170,49384,은초롱어린이집,충청남도 천안시 동남구 일봉로 34,31184
171,49727,키즈월드어린이집,경기도 용인시 수지구 죽전로 87,16899
172,52180,해맑은어린이집,대구광역시 중구 봉산문화길 69,41958
173,55206,학원,경기도 성남시 분당구 판교로 375  에메트타운 4층,13489
174,56832,미암어린이집,전라남도 영암군 미암면 잿등로 11,58445
175,57296,키즈킨더가든어린이집,전라북도 군산시 상신6길 10,54124
176,58267,국공립 자연숲어린이집,대구광역시 달서구 갈밭로33,42842
177,60599,공립삼화휴먼시아어린이집,제주특별자치도 제주시 화삼북로2길 12,63303
178,60942,사무엘어린이집,경기도 파주시 책향기로 418,10874
179,62962,신미주2관어린이집,경기도 용인시 처인구 처인구 이동읍 백옥대로587번길 7,17128
180,63703,샘초록어린이집,광주광역시 남구 봉선중앙로 115,61689
181,66928,향남유치원,경기도 화성시 경기도 화성시 향남읍 하길리1542,18620
182,68441,연꽃어린이집,충청북도 음성군 음성읍 연꽃길 50,27690
183,70652,딸기어린이집,광주광역시 북구 임방울대로1041번길 15 121동 101호,61018
184,71381,그래그래 어린이집,충청남도 당진시 동부로 99 수청한라비발디 107동 104호,31772
185,72165,베르디움어린이집,광주광역시 서구 하남대로680번길 10,61903
186,72543,신정2동어린이집,울산광역시 남구 문수로423번길 4-28,44655
187,73128,호은어린이집,전라북도 전주시 덕진구 세병로130번지,55150
188,73214,신나는자연어린이집,"경기도 시흥시 중심상가로 224,607동103호",15065
189,73756,아이우디미술,경기도 안양시 동안구 귀인로 172번길 26 2층,14099
190,78443,남구구립숲속꿈나무어린이집,광주광역시 남구 고싸움로164번길22,61751
191,81083,어린이집,경기도 김포시 에릭한유치원,10082
192,82639,국공립현대5차 어린이집,인천광역시 연수구 한진로 49 현대5차아파트 관리동,21947
193,87026,서창뜰어린이집,"인천광역시 남동구 서창남순환로 190-15 708동 102호(서창동, 서창엘에이치7단지)",21616
194,87876,리드앤톡 양덕점 (ZEM E ZEM ENGLISH),경상남도 창원시마산회원구 양덕로 13 (동원에코빌) 201호,51345
195,88340,호반새싹어린이집,"경기도 의정부시 민락로 211 (민락동, 호반베르디움1차)",11813
196,88539,재크어린이집,서울특별시 구로구 디지털로 31길 90 삼성래미안 아파트 관리동 1층,08371
197,2111,천사몬테소리어린이집,경기도 평택시 경기도 평택시 팽성읍 팽성대교길 98-5,17977
198,31876,늘픔어린이집,전라북도 전주시 완산구 어은로 33-3,54984
199,31997,인천진산초등학교어린이집,인천광역시 부평구 굴포로 194-10,21342
200,32461,솔숲어린이집,경상북도 포항시 북구 중앙로 413-14,37701
201,32683,예랑나랑어린이집,경기도 안양시 동안구  흥안대로434번길 24,14063
202,33069,광안어린이집,부산광역시 수영구  광일로29번가길 66,48250
203,38006,혜현어린이집3,서울특별시 동대문구 간데메 공원,02595
204,40802,아이신나어린이집,경기도 의정부시 동일로660  204동102호,11750
205,45918,예쁜사랑어린이집,경기도 수원시 권선구 매송고색로673번길 11,16625
206,46382,공항꿈나무제1어린이집,인천광역시 중구 공항로424번길 47,22382
207,46425,연화어린이집,광주광역시 동구  지산로56번길 7-6,61444
208,46503,열린어린이집,충청남도 천안시 동남구  봉서4길 7,31148
209,50426,뉴질랜드 교육문화원,서울특별시 강남구 역삼로 7길 21,06243
210,50613,사이좋은 어린이집,충청남도 아산시 음봉로 847,31419
211,53873,으뜸별 어린이집,경기도 화성시 동탄대로4가길26 제일풍경채 에듀&파크 3334동 102호,18507
212,61286,오르다어린이집,인천광역시 부평구 세월천로 16 청천푸르지오 106동 103호,21312
213,62877,궁전어린이집,경상북도 상주시 문무2길 33-24,37184
214,67771,해맑은어린이집,강원도 속초시 온정로1길 11-8,24898
215,68820,수피아어린이집,강원도 삼척시 정상로 90,25924
216,69440,남양새로미어린이집,경상남도 창원시 성산구 경남창원시성산구 대정로 84 205동105호,51482
217,71881,이튼 어린이집,대구광역시 달성군 논공읍 논공로17길 16-8,42979
218,73086,아가세상어린이집,서울특별시 송파구 위례송파로123  1711동 101호,05846
219,76455,아기천사어린이집,대전광역시 유성구 진잠로42번길 88,34232
220,76732,블루밍킨더,서울특별시 서대문구 성산로 529,03721
221,78366,SK뷰꿈나래어린이집,"인천광역시 중구 흰바위로 203 (운서동, 운서SK뷰 스카이시티 1차)",22376
222,79957,경남숲어린이집,경상남도 창원시마산회원구 양덕동17길22 2동103호,51360
223,81427,살루스플러스데이케어,부산광역시 해운대구 해운대구 좌동로 88,48106
224,83759,큰별유치원,광주광역시 서구 염화로104번길 25,62042
225,86465,샌디아뜰리에,"경기도 하남시 신평로168번길 12-16, 1층103호",12940
226,86742,어린이집,서울특별시 강북구 도봉로96길 43 (번동),01057
227,86863,예랑수학교습소,울산광역시 북구 화산6길2,44236
228,87713,하단초등학교병설유치원,부산광역시 사하구 하신중앙로 321,49426
229,11142,경기어린이집,서울특별시 마포구 양화로1길 108,04022
230,18941,아름다운어린이집,울산광역시 울주군 청량면,44984
231,30421,엘리시아어린이집,전라남도 순천시 오천8길 15 호반베르디움106동 1층,57996
232,30862,대한영재어린이집,경상북도 칠곡군 북삼읍 북삼로10길 9,39801
233,36021,세비아학교,서울특별시 송파구 방이동124-12번지 3층,05643
234,37148,봄아트테라피,경기도 용인시 수지구 성복동 82-2,16849
235,38575,또래또어린이집,서울특별시 관악구 관악로30길 12 102동 108호,08735
236,38696,꼬마사랑어린이집,대전광역시 유성구 송강로42번길 61,34008
237,40010,꿈모아어린이집,경기도 남양주시 화도읍 수레로 1234-13,12185
238,46772,동화뜨란채어린이집,경기도 화성시 봉담읍 동화길 122,18318
239,47423,어린이집집,서울특별시 송파구 삼전동110-8,05601
240,47821,행복나무어린이집,경기도 수원시 영통구 영통로154번길 51-16 센트럴하이츠관리동,16690
241,48671,청라다온어린이집,인천광역시 서구 청라한울로96. 326동 105호,22747
242,50683,유나어린이집,서울특별시 노원구 월계로55길 15,01865
243,52196,자람직장어린이집,경기도 평택시 삼남로 17-6,17749
244,54407,신한예은어린이집,경기도 남양주시 와부읍 덕소로2번길 135,12214
245,58759,아기별어린이집,전라북도 완주군 둔산1로 131,55315
246,59301,시전사임당어린이집,전라남도 여수시 여천체육공원길 23 102동 106호(시전동 우미@),59683
247,59722,햇님어린이집,부산광역시 사하구 승학로31번길 1,49316
248,60307,시립자이나린어린이집,경기도 평택시 상서재로 80 센트럴자이5단지,18032
249,67642,킨더가든,경기도 안성시 이현배티길 58-30,17501
250,69697,색동유치원,충청남도 천안시 서북구 색동유치원,31141
251,70095,고양동산초등학교병설유치원,경기도 고양시 덕양구 동세로 32,10597
252,73156,동화나라유치원,경기도 수원시 영통구 영통로232,16698
253,73620,예꿈어린이집,전라북도 무주군 무주읍 단천로 71,55518
254,14792,양지어린이집,경상남도 거제시 양정5길36거제아이파크1차,53244
255,27200,ywca어린이집,전라북도 군산시 영화동20-2,54021
256,30425,새샛별아이어린이집,경기도 부천시 원미구 정주로34번가길 12,14532
257,35584,선어린이집,서울특별시 양천구 양천구화곡로3길34 102동104호,07902
258,38037,서초구립 네이처힐3단지어린이집,서울특별시 서초구 태봉로2길 60 서초네이처힐 307동 1층,06764
259,38423,재미나라어린이집,충청남도 논산시 시민로258번길 10,32983
260,40291,알곡어린이집,경기도 안산시 단원구 와동공원로6길 7,15253
261,45914,꼬마대통령어린이집,경기도 양평군 중앙로167번길 8 104동 1층,12550
262,52699,죽전 이씨씨,"경기도 용인시 기흥구 죽전로47,6층",16898
263,54290,다사랑어린이집,경상북도 의성군 충효로 75,37339
264,54797,하늘구름빵,경상남도 김해시 덕정로 68,50998
265,55924,김지황,부산광역시 수영구 광안새싹어린이집,48294
266,58322,벽산아이천국어린이집,경기도 용인시 기흥구 고매로43번길 32-2,17084
267,59063,삼성푸른어린이집,대전광역시 중구 계룡로 852,34907
268,60311,영암읍교회어린이집,전라남도 영암군 영암읍 서남역로 9-9,58414
269,61239,어린이집,강원도 원주시 반곡길 45 202동 106호,26457
270,62873,해맑은어린이집,서울특별시 동작구 동작대로45길 22,06994
271,66519,티파니가든,경기도 광주시 보뚱치길25,12774
272,67326,씽크앤아트미술학원,울산광역시 북구 신기 4길 45 2층,44215
273,69459,새봄어린이집,강원도 강릉시 토성로 39 104동 1층,25536
274,71448,JoinsungPT&Pilates,서울특별시 성북구 고려대로24길 42 방주빌딩 4층,02855
275,72220,아이꿈어린이집,서울특별시 영등포구 대방천로 180 206동101호,07435
276,76872,토리어린이집,서울특별시 양천구 은행정로 17길 16,07944
277,80916,엘지유치원,부산광역시 부산진구 부산광역시 부산진구 백양대로300번길 30,47174
278,81801,용이초등학교병설유치원,경기도 평택시 현신7길 36,17866
279,81844,천년나무어린이집,충청남도 당진시 석문면 해명1로 200 천년나무 아파트 2단지 관리동,31703
280,82086,샛별어린이집,경기도 의정부시 호국로1135번길 60 (가능동),11658
281,84683,에셀나무음악학원,경상남도 김해시 김해시 계동로 23번길 28 3층 (팔판마을푸르지오5단지 상가),50998
282,86617,청아어린이집,경상남도 창원시 의창구 동읍 의창대로900번길 8,51132
283,88407,더울림교육센터,광주광역시 동구 무등로326-1 3층,61419
284,89998,워너비독,경상남도 김해시 내외중앙로60 13층,50948
285,31796,웃는꼬마어린이집,경상북도 경주시 소금강로41번길 9,38095
286,33044,아이사랑어린이집,경기도 파주시  와석순환로172번길 7-19,10901
287,34713,프렌즈 미술학원,충청남도 천안시 동남구 청수14로56,31198
288,41077,쵸코렛어린이집,서울특별시 성동구 무학봉28길 7,04715
289,41619,세한유치원,광주광역시 광산구 목련로 192-6,62316
290,42126,영어방과후교실,인천광역시 서구 원적로 124번길 21,22807
291,45573,꼬미꼬미어린이집,전라북도 전주시 덕진구 인후동1가 석소로 55,55018
292,46392,매쓰플레이,경상남도 창원시 의창구 북면 감계로 110번길 54-3,51112
293,52920,힘찬태권도,인천광역시 동구 금곡동 33-2,22554
294,56710,삼호3차 가온어린이집,서울특별시 서초구 방배로45길 2 삼호@ 13동 104호,06552
295,57693,봄빛어린이집,부산광역시 강서구 명지국제5로 165 스위트펠리스 805동 103호,46773
296,57716,영재들의 미술상자 용인제일교육원,경기도 용인시 처인구 양지면 중부대로 2517번길 42-22,17162
297,58964,아이위시3차어린이집,대구광역시 달성군 다사읍 서재로7길 25,42929
298,59042,장대어린이집,대전광역시 유성구 유성대로736번길 44,34172
299,63472,나무와아이어린이집,충청남도 천안시 서북구 서부16길16,31138
300,67582,세인 어린이집,대구광역시 서구 국채보상로 50길 20 104동 101호,41827
301,70444,육아일기어린이집,"경기도 안양시 동안구 동안로 11 712동 101호(호계동, 무궁화코오롱아파트)",14100
302,75416,바른인성으로꿈을키우는 요요영재유치원,울산광역시 남구 야음로5번길21,44755
303,76730,대방신비어린이집,경상남도 창원시 성산구 대암로 82,51462
304,79846,아리아케어 코리아,"서울특별시 서초구 논현로 171, 2층",06739
305,80653,아리아케어주야간보호목감센터,경기도 시흥시 동서로865-21 2층,14983
306,81160,그라운독,경기도 남양주시 진접읍 금강로 1633번길 81-3,12002
307,86397,제비어린이집,인천광역시 남동구 문화로169번길 21 (구월동),21553
308,27825,현대숲어린이집,경기도 광주시 오포읍,12773
309,29681,😂,경기도 안성시 공도읍 서동대로 4079,17552
310,31615,에코키즈어린이집,광주광역시 서구 상무평화로 62,61959
311,32056,창신제일어린이집,서울특별시 종로구 낙산성곽동길 69,03089
312,40077,꿈마루어린이집,경기도 수원시 권선구 곡선로 10 아이파크시티 506동 104호,16666
313,42066,월드동심어린이집,부산광역시 연제구 거제천로 236-7,47519
314,45513,숲속이레교육센터,경기도 용인시 수지구 경기도용인시수지구성복2로283,16805
315,52462,달성산단 참꽃직장어린이집,대구광역시 달성군 유가읍 테크노북로 6길 26,43015
316,53203,토스이지플러스학원,경상남도 통영시 광도면 안정1길 53 현대성우오스타 1단지 201호,53008
317,60916,단월어린이집,경기도 양평군 단월면 보룡길 80-3,12529
318,69456,세종유치원,광주광역시 광산구 하남대로  54번안길 65,62337
319,72139,하늘샘어린이집,"전라북도 군산시 의료원로 163, 104동 106호 (나운동 , 신일아파트)",54145
320,73344,해성어린이집,부산광역시 강서구 공항진입로42번길 20,46719
321,77454,시립병점노을어린이집,경기도 화성시 병점노을1로 14,18372
322,81365,용산노인복지센터,전라남도 장흥군 장흥군 용안로 2,59344
323,85717,리움아트,경기도 하남시 감일백제로 120 힐스테이트포웰시티 상가 2층,12997
324,4638,구립코알라어린이집,서울특별시 강동구 상일로 152 고덕리엔파크 1단지 107동 1층(강일동),05218
325,9212,천안 유소년 축구클럽,충청남도 천안시 동남구 원성동 444-15,31126
326,29310,플라톤어학원 청주,충청북도 청주시 흥덕구 가경로 130 2층,28400
327,33576,2018 평동초 4학년 4반,경기도 남양주시 호평로 68번길 16 평동초등학교,12150
328,36879,김포교육지원청,경기도 김포시 관순로26번길 43,10108
329,39983,온빛어린이집,대전광역시 유성구 도안동로 446,34192
330,40225,하늘땅어린이집,경기도 김포시 풍년로 9,10111
331,41574,준양참마을어린이집,경상북도 포항시 남구 오천읍 철강로 685 준양참마을 101동 101호,37883
